1.5545	Most refugees were women, children, elderly, or disabled.	大多数难民是妇女、儿童、老人或残疾人。
1.5510	2018 Kerch Strait incident	2018年：刻赤海峡冲突
1.5435	He said that a UN referendum should be held "to ascertain objectively the wishes of the majority of the inhabitants of the various disputed areas".	苏比安托认为应该发起一场联合国公投，以客观了解争议地区大多数居民的意愿。
1.5412	Logically noted that the report contained many issues indicating it was a fake, including multiple factual, spelling, grammatical and formatting errors, and several discrepancies with RAND's other published reports.	同时，该报告也被指出存在明显的错误问题，包括事实、语法、格式和拼写错误。
1.5238	China sees itself as a country on the rise with momentum behind it.	中国认为自己是一个正在崛起的国家，背后有动力。
1.4808	Lavrov said that the proposal diverged from the terms negotiators had agreed on.	拉夫罗夫说，该提议与之前与乌克兰方面谈判代表商定的条款背道而驰。
1.4793	The fifth round of talks, on 21 March, failed to achieve a breakthrough.	3月21日举行的第五轮会谈未能取得突破。
1.4759	Most male Ukrainian nationals aged 18 to 60 were denied exit from Ukraine as part of mandatory conscription, unless they were responsible for the financial support of three or more children, single fathers, or were the parent/guardian of children with disabilities.	作为强制征兵的一部分，大多数18至60岁的乌克兰男性国民被拒绝离开乌克兰，除非他们负责三个或更多孩子的经济支持、单身父亲、或孩子的父母/监护人。
1.4660	As of 6 April, state-run Chinese media outlets such as Xinhua News Agency and People’s Daily had not reported on the Bucha massacre in detail.	截至4月6日，新华社，人民日报等其他官媒均没有对布恰大屠杀做详细报道。
1.4638	After the summit no joint statement was issued.	会后未有发表联合声明。
1.4612	In June, a delegation from Africa, including representatives from South Africa, Egypt, Senegal, Congo-Brazzaville, Comoros, Zambia, and Uganda, visited Ukraine and Russia to call for peace.	南非、埃及、塞内加尔、刚果共和国、科摩罗、赞比亚和乌干达等非洲国家的代表访问俄乌两国。
1.4576	In February 2022, Eliot Higgins of Bellingcat judged that the quality of Russian misinformation videos had weakened, but remained especially effective for the older generation of Russians.	2022年2月，荷兰调查报导集团啤令猫（Bellingcat）的艾略特·希金斯（Eliot Higgins）称，俄罗斯制作的虚假视频质量很差，如今也仅有一些老年俄罗斯人愿意相信这些虚假视频了。
